order,id,date,time,url,visitCount,typedCount,transition
0,2832,8/9/2023,23:00:14,https://www.google.com/search?q=usa+visa&oq=usa+visa&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIJCAMQABgKGIAEMgkIBBAAGAoYgAQyCQgFEAAYChiABDIJCAYQABgKGIAEMgkIBxAAGAoYgAQyCQgIEAAYChiABDIJCAkQABgKGIAE0gEIMTUyNmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,generated
1,2833,8/9/2023,23:00:07,https://hu.usembassy.gov/visas/,1,0,link
2,2832,8/9/2023,23:00:03,https://www.google.com/search?q=usa+visa&oq=usa+visa&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIJCAMQABgKGIAEMgkIBBAAGAoYgAQyCQgFEAAYChiABDIJCAYQABgKGIAEMgkIBxAAGAoYgAQyCQgIEAAYChiABDIJCAkQABgKGIAE0gEIMTUyNmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,link
3,2832,8/9/2023,23:00:02,https://www.google.com/search?q=usa+visa&oq=usa+visa&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIJCAMQABgKGIAEMgkIBBAAGAoYgAQyCQgFEAAYChiABDIJCAYQABgKGIAEMgkIBxAAGAoYgAQyCQgIEAAYChiABDIJCAkQABgKGIAE0gEIMTUyNmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,generated
4,2831,8/9/2023,22:59:58,https://www.gov.uk/apply-to-come-to-the-uk,1,0,link
5,2830,8/9/2023,22:59:56,https://www.google.com/search?q=uk+visa&oq=uk+visa&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBCDE1MTlqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,link
6,2830,8/9/2023,22:59:56,https://www.google.com/search?q=uk+visa&oq=uk+visa&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBCDE1MTlqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,generated
7,2829,8/9/2023,22:59:49,https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada.html,2,0,link
8,2829,8/9/2023,22:59:48,https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada.html,2,0,link
9,2828,8/9/2023,22:59:43,https://www.google.com/search?q=canada+visa&oq=canada+visa&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBCDI1NTBqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,link
10,2828,8/9/2023,22:59:42,https://www.google.com/search?q=canada+visa&oq=canada+visa&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBCDI1NTBqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,generated
11,2402,8/9/2023,22:59:28,https://www.linkedin.com/in/denys-herasymuk-a26427159/,11,1,link
12,2402,8/9/2023,22:59:27,https://www.linkedin.com/in/denys-herasymuk-a26427159/,11,1,auto_bookmark
13,2824,8/9/2023,22:00:15,https://www.overleaf.com/project/64b18c8a35f54e59f96a2c3d,8,1,link
14,2824,8/9/2023,22:00:15,https://www.overleaf.com/project/64b18c8a35f54e59f96a2c3d,8,1,typed
15,2824,8/9/2023,20:53:01,https://www.overleaf.com/project/64b18c8a35f54e59f96a2c3d,8,1,link
16,2824,8/9/2023,20:53:00,https://www.overleaf.com/project/64b18c8a35f54e59f96a2c3d,8,1,link
17,2020,8/9/2023,20:52:49,https://www.overleaf.com/project,21,0,link
18,2021,8/9/2023,20:52:42,https://www.overleaf.com/project/63fe4c72cd064765a9ac9937,80,1,link
19,2021,8/9/2023,20:52:41,https://www.overleaf.com/project/63fe4c72cd064765a9ac9937,80,1,auto_bookmark
20,2827,8/9/2023,1:09:47,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related,1,0,link
21,2826,8/9/2023,1:09:42,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,1,0,link
22,2825,8/9/2023,1:09:41,https://www.google.com/search?q=export+chrome+history+to+csv&oq=export+chrome+history+to+csv&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIICAUQABgWGB4yCAgGEAAYFhgeMggIBxAAGBYYHjIICAgQABgWGB4yCAgJEAAYFhge0gEINDkwM2owajeoAgCwAgA&sourceid=chrome&ie=UTF-8,2,0,link
